Quadrat,Transect,Site,Measurement,Value
1,7,PI,Sarc,NA
2,7,PI,Sarc,NA
3,7,PI,Sarc,NA
4,7,PI,Sarc,NA
5,7,PI,Sarc,NA
1,8,PI,Sarc,NA
2,8,PI,Sarc,NA
3,8,PI,Sarc,NA
3,1,PI,Sarc,NA
4,8,PI,Sarc,NA
5,8,PI,Sarc,NA
1,9,PI,Sarc,NA
2,9,PI,Sarc,NA
3,9,PI,Sarc,NA
4,9,PI,Sarc,NA
5,9,PI,Sarc,NA
1,10,PI,Sarc,NA
2,10,PI,Sarc,NA
3,10,PI,Sarc,NA
4,1,PI,Sarc,NA
4,10,PI,Sarc,NA
5,10,PI,Sarc,NA
1,11,PI,Sarc,NA
2,11,PI,Sarc,NA
3,11,PI,Sarc,NA
4,11,PI,Sarc,NA
5,11,PI,Sarc,NA
1,12,PI,Sarc,NA
2,12,PI,Sarc,NA
3,12,PI,Sarc,NA
5,1,PI,Sarc,NA
4,12,PI,Sarc,NA
5,12,PI,Sarc,NA
1,2,PI,Sarc,NA
2,2,PI,Sarc,NA
3,2,PI,Sarc,NA
4,2,PI15,Sarc,NA
5,2,PI15,Sarc,NA
1,3,PI15,Sarc,NA
2,3,PI15,Sarc,NA
3,3,PI15,Sarc,NA
4,3,PI15,Sarc,NA
5,3,PI15,Sarc,NA
1,4,PI15,Sarc,NA
2,4,PI15,Sarc,NA
3,4,PI15,Sarc,NA
1,1,PI15,Sarc,NA
4,4,PI15,Sarc,NA
5,4,PI15,Sarc,NA
5,5,PI15,Sarc,NA
4,5,PI15,Sarc,NA
3,5,PI15,Sarc,NA
2,5,PI15,Sarc,NA
1,5,PI15,Sarc,NA
1,6,PI15,Sarc,NA
2,6,PI15,Sarc,NA
3,6,PI15,Sarc,NA
2,1,PI15,Sarc,NA
4,6,PI15,Sarc,NA
5,6,PI15,Sarc,NA
1,7,PI15,Sarc,NA
2,7,PI15,Sarc,NA
3,7,PI15,Sarc,NA
4,7,PI15,Sarc,NA
5,7,PI15,Sarc,NA
1,8,PI15,Sarc,NA
2,8,PI15,Sarc,NA
3,8,PI15,Sarc,NA
3,1,PI15,Sarc,NA
4,8,PI15,Sarc,NA
5,8,PI15,Sarc,NA
1,9,PI15,Sarc,NA
2,9,PI15,Sarc,NA
3,9,PI15,Sarc,NA
4,9,PI15,Sarc,NA
5,9,PI15,Sarc,NA
1,10,PI15,Sarc,NA
2,10,PI15,Sarc,NA
3,10,PI15,Sarc,NA
4,1,PI15,Sarc,NA
4,10,PI15,Sarc,NA
5,10,PI15,Sarc,NA
1,11,PI15,Sarc,NA
2,11,PI15,Sarc,NA
3,11,PI15,Sarc,NA
4,11,PI15,Sarc,NA
5,11,PI15,Sarc,NA
1,12,PI15,Sarc,NA
2,12,PI15,Sarc,NA
3,12,PI15,Sarc,NA
5,1,PI15,Sarc,NA
4,12,PI15,Sarc,NA
5,12,PI15,Sarc,NA
1,2,PI15,Sarc,NA
2,2,PI15,Sarc,NA
3,2,PI15,Sarc,NA
4,2,SQ,Sarc,NA
5,2,SQ,Sarc,NA
1,3,SQ,Sarc,NA
2,3,SQ,Sarc,NA
3,3,SQ,Sarc,NA
4,3,SQ,Sarc,NA
5,3,SQ,Sarc,NA
1,4,SQ,Sarc,NA
2,4,SQ,Sarc,NA
3,4,SQ,Sarc,NA
1,1,SQ,Sarc,NA
4,4,SQ,Sarc,NA
5,4,SQ,Sarc,NA
5,5,SQ,Sarc,NA
4,5,SQ,Sarc,NA
3,5,SQ,Sarc,NA
2,5,SQ,Sarc,NA
1,5,SQ,Sarc,NA
1,6,SQ,Sarc,NA
2,6,SQ,Sarc,NA
3,6,SQ,Sarc,NA
2,1,SQ,Sarc,NA
4,6,SQ,Sarc,NA
5,6,SQ,Sarc,NA
1,7,SQ,Sarc,NA
2,7,SQ,Sarc,NA
3,7,SQ,Sarc,NA
4,7,SQ,Sarc,NA
5,7,SQ,Sarc,NA
1,8,SQ,Sarc,NA
2,8,SQ,Sarc,NA
3,8,SQ,Sarc,NA
3,1,SQ,Sarc,NA
4,8,SQ,Sarc,NA
5,8,SQ,Sarc,NA
1,9,SQ,Sarc,NA
2,9,SQ,Sarc,NA
3,9,SQ,Sarc,NA
4,9,SQ,Sarc,NA
5,9,SQ,Sarc,NA
1,10,SQ,Sarc,NA
2,10,SQ,Sarc,NA
3,10,SQ,Sarc,NA
4,1,SQ,Sarc,NA
4,10,SQ,Sarc,NA
5,10,SQ,Sarc,NA
1,11,SQ,Sarc,NA
2,11,SQ,Sarc,NA
3,11,SQ,Sarc,NA
4,11,SQ,Sarc,NA
5,11,SQ,Sarc,NA
1,12,SQ,Sarc,NA
2,12,SQ,Sarc,NA
3,12,SQ,Sarc,NA
5,1,SQ,Sarc,NA
4,12,SQ,Sarc,NA
5,12,SQ,Sarc,NA
1,2,SQ,Sarc,NA
2,2,SQ,Sarc,NA
3,2,SQ,Sarc,NA
4,2,W,Sarc,NA
5,2,W,Sarc,NA
1,3,W,Sarc,NA
2,3,W,Sarc,NA
3,3,W,Sarc,NA
4,3,W,Sarc,NA
5,3,W,Sarc,NA
1,4,W,Sarc,NA
2,4,W,Sarc,NA
3,4,W,Sarc,NA
1,1,W,Sarc,NA
4,4,W,Sarc,NA
5,4,W,Sarc,NA
1,5,W,Sarc,NA
2,5,W,Sarc,NA
3,5,W,Sarc,NA
4,5,W,Sarc,NA
5,5,W,Sarc,NA
1,6,W,Sarc,NA
2,6,W,Sarc,NA
3,6,W,Sarc,NA
2,1,W,Sarc,NA
4,6,W,Sarc,NA
5,6,W,Sarc,NA
1,7,W,Sarc,NA
2,7,W,Sarc,NA
3,7,W,Sarc,NA
4,7,W,Sarc,NA
5,7,W,Sarc,NA
1,8,W,Sarc,NA
2,8,W,Sarc,NA
3,8,W,Sarc,NA
3,1,W,Sarc,NA
4,8,W,Sarc,NA
5,8,W,Sarc,NA
1,9,W,Sarc,NA
2,9,W,Sarc,NA
3,9,W,Sarc,NA
4,9,W,Sarc,NA
5,9,W,Sarc,NA
1,10,W,Sarc,NA
2,10,W,Sarc,NA
3,10,W,Sarc,NA
4,1,W,Sarc,NA
4,10,W,Sarc,NA
5,10,W,Sarc,NA
1,11,W,Sarc,NA
2,11,W,Sarc,NA
3,11,W,Sarc,NA
4,11,W,Sarc,NA
5,11,W,Sarc,NA
1,12,W,Sarc,NA
2,12,W,Sarc,NA
3,12,W,Sarc,NA
5,1,W,Sarc,NA
4,12,W,Sarc,NA
5,12,W,Sarc,NA
0,0,W,Sarc,NA
0,0,W,Sarc,NA
0,0,W,Sarc,NA
0,0,W,Sarc,NA
0,0,W,Sarc,NA
0,0,W,Sarc,NA
0,0,W,Sarc,NA
0,0,W,Sarc,NA
1,2,W,Sarc,NA
0,0,W,Sarc,NA
0,0,W,Sarc,NA
0,0,W,Sarc,NA
0,0,W,Sarc,NA
0,0,W,Sarc,NA
0,0,W,Sarc,NA
2,2,W,Sarc,NA
3,2,W,Sarc,NA
2,11,EP,SARC,0
1,11,EP,SARC,0
5,10,EP,SARC,0
4,10,EP,SARC,0
3,10,EP,SARC,0
2,10,EP,SARC,0
1,10,EP,SARC,0
1,9,EP,SARC,0
2,9,EP,SARC,0
3,9,EP,SARC,0
1,12,EP,SARC,0
4,9,EP,SARC,0
5,9,EP,SARC,0
1,8,EP,SARC,0
2,8,EP,SARC,0
3,8,EP,SARC,0
4,8,EP,SARC,0
5,8,EP,SARC,0
1,7,EP,SARC,0
2,7,EP,SARC,0
3,7,EP,SARC,0
2,12,EP,SARC,0
4,7,EP,SARC,0
5,7,EP,SARC,0
1,6,EP,SARC,0
2,6,EP,SARC,0
3,6,EP,SARC,0
4,6,EP,SARC,0
5,6,EP,SARC,0
5,5,EP,SARC,0
4,5,EP,SARC,0
3,5,EP,SARC,0
3,12,EP,SARC,0
2,5,EP,SARC,0
1,5,EP,SARC,0
1,4,EP,SARC,1
2,4,EP,SARC,7
3,4,EP,SARC,0
4,4,EP,SARC,0
5,4,EP,SARC,2
5,3,EP,SARC,1
4,3,EP,SARC,0
3,3,EP,SARC,1
4,12,EP,SARC,0
2,3,EP,SARC,0
1,3,EP,SARC,2
1,2,EP,SARC,0
2,2,EP,SARC,0
3,2,EP,SARC,0
4,2,EP,SARC,0
5,2,EP,SARC,0
1,1,EP,SARC,0
2,1,EP,SARC,0
3,1,EP,SARC,0
5,12,EP,SARC,0
4,1,EP,SARC,0
5,1,EP,SARC,0
5,11,EP,SARC,0
4,11,EP,SARC,0
3,11,EP,SARC,0
4,8,GC,SARC,0
5,8,GC,SARC,0
1,12,GC,SARC,0.2
2,12,GC,SARC,0
3,12,GC,SARC,0.6
4,12,GC,SARC,0.2
5,12,GC,SARC,1.4
1,7,GC,SARC,0
2,7,GC,SARC,13
1,6,GC,SARC,18
1,10,GC,SARC,0
2,6,GC,SARC,0
5,1,GC,SARC,0
1,4,GC,SARC,0
2,4,GC,SARC,0
3,4,GC,SARC,0
4,4,GC,SARC,2
5,4,GC,SARC,0
1,5,GC,SARC,5
2,5,GC,SARC,20
3,5,GC,SARC,20
2,10,GC,SARC,0
4,5,GC,SARC,18
5,5,GC,SARC,0
1,11,GC,SARC,0
2,11,GC,SARC,0
3,11,GC,SARC,0
4,11,GC,SARC,0.3
5,11,GC,SARC,0
1,9,GC,SARC,0
2,9,GC,SARC,0
3,9,GC,SARC,0.1
3,10,GC,SARC,6
4,9,GC,SARC,0
5,9,GC,SARC,0
5,7,GC,SARC,0
4,7,GC,SARC,6.4
3,7,GC,SARC,10
5,6,GC,SARC,0
4,6,GC,SARC,0.4
4,10,GC,SARC,2
5,10,GC,SARC,0
1,8,GC,SARC,0
2,8,GC,SARC,0
3,8,GC,SARC,6
4,2,Med,SARC,8
5,2,Med,SARC,0.75
1,3,Med,SARC,0
2,3,Med,SARC,0
3,3,Med,SARC,0
4,3,Med,SARC,20
5,3,Med,SARC,0
1,4,Med,SARC,5
2,4,Med,SARC,11
3,4,Med,SARC,80
1,1,Med,SARC,0
4,4,Med,SARC,62
5,4,Med,SARC,60
5,5,Med,SARC,60
4,5,Med,SARC,70
3,5,Med,SARC,0
2,5,Med,SARC,0
1,5,Med,SARC,0
1,6,Med,SARC,0.75
2,6,Med,SARC,0
3,6,Med,SARC,0
2,1,Med,SARC,0.2
4,6,Med,SARC,0
5,6,Med,SARC,0
1,7,Med,SARC,0
2,7,Med,SARC,0
3,7,Med,SARC,0
4,7,Med,SARC,0
5,7,Med,SARC,0
1,8,Med,SARC,0
2,8,Med,SARC,0
3,8,Med,SARC,0
3,1,Med,SARC,0.3
4,8,Med,SARC,0.2
5,8,Med,SARC,0
5,9,Med,SARC,0
4,9,Med,SARC,0.3
3,9,Med,SARC,0
2,9,Med,SARC,1
1,9,Med,SARC,0
5,10,Med,SARC,0
4,10,Med,SARC,1
3,10,Med,SARC,2
4,1,Med,SARC,0
2,10,Med,SARC,1
1,10,Med,SARC,0
1,11,Med,SARC,0
2,11,Med,SARC,0
3,11,Med,SARC,0
4,11,Med,SARC,0
5,11,Med,SARC,0
1,12,Med,SARC,0
2,12,Med,SARC,1
3,12,Med,SARC,1
5,1,Med,SARC,0
4,12,Med,SARC,0
5,12,Med,SARC,0
1,2,Med,SARC,0
2,2,Med,SARC,0
3,2,Med,SARC,7
4,2,N,SARC,0
5,2,N,SARC,0
1,3,N,SARC,0
2,3,N,SARC,0
3,3,N,SARC,0
4,3,N,SARC,0
5,3,N,SARC,0
1,4,N,SARC,0
2,4,N,SARC,0
3,4,N,SARC,0
1,1,N,SARC,0
4,4,N,SARC,0
5,4,N,SARC,0
1,5,N,SARC,0
2,5,N,SARC,0
3,5,N,SARC,0
4,5,N,SARC,0
5,5,N,SARC,0
1,6,N,SARC,0
2,6,N,SARC,0
3,6,N,SARC,0
2,1,N,SARC,0
4,6,N,SARC,0
5,6,N,SARC,0
1,7,N,SARC,0
2,7,N,SARC,0
3,7,N,SARC,0
4,7,N,SARC,0
5,7,N,SARC,0
1,8,N,SARC,0
2,8,N,SARC,0
3,8,N,SARC,0
3,1,N,SARC,3.1
4,8,N,SARC,0
5,8,N,SARC,0
1,9,N,SARC,0
2,9,N,SARC,0
3,9,N,SARC,0
4,9,N,SARC,0
5,9,N,SARC,0
1,10,N,SARC,0
2,10,N,SARC,0
3,10,N,SARC,0
4,1,N,SARC,0
4,10,N,SARC,0
5,10,N,SARC,0
1,11,N,SARC,0
2,11,N,SARC,0
3,11,N,SARC,0
4,11,N,SARC,0
5,11,N,SARC,0
1,12,N,SARC,0
2,12,N,SARC,0
3,12,N,SARC,0
5,1,N,SARC,94
4,12,N,SARC,0
5,12,N,SARC,0
1,2,N,SARC,0
2,2,N,SARC,0
3,2,N,SARC,0
4,2,PI,SARC,NA
5,2,PI,SARC,NA
1,3,PI,SARC,NA
2,3,PI,SARC,NA
3,3,PI,SARC,NA
4,3,PI,SARC,NA
5,3,PI,SARC,NA
1,4,PI,SARC,NA
2,4,PI,SARC,NA
3,4,PI,SARC,NA
1,1,PI,SARC,NA
4,4,PI,SARC,NA
5,4,PI,SARC,NA
1,5,PI,SARC,NA
2,5,PI,SARC,NA
3,5,PI,SARC,NA
4,5,PI,SARC,NA
5,5,PI,SARC,NA
1,6,PI,SARC,NA
2,6,PI,SARC,NA
3,6,PI,SARC,NA
2,1,PI,SARC,NA
4,6,PI,SARC,NA
5,6,PI,SARC,NA
1,7,PI,SARC,NA
2,7,PI,SARC,NA
3,7,PI,SARC,NA
4,7,PI,SARC,NA
5,7,PI,SARC,NA
1,8,PI,SARC,NA
2,8,PI,SARC,NA
3,8,PI,SARC,NA
3,1,PI,SARC,NA
4,8,PI,SARC,NA
5,8,PI,SARC,NA
1,9,PI,SARC,NA
2,9,PI,SARC,NA
3,9,PI,SARC,NA
4,9,PI,SARC,NA
5,9,PI,SARC,NA
1,10,PI,SARC,NA
2,10,PI,SARC,NA
3,10,PI,SARC,NA
4,1,PI,SARC,NA
4,10,PI,SARC,NA
5,10,PI,SARC,NA
1,11,PI,SARC,NA
2,11,PI,SARC,NA
3,11,PI,SARC,NA
4,11,PI,SARC,NA
5,11,PI,SARC,NA
1,12,PI,SARC,NA
2,12,PI,SARC,NA
3,12,PI,SARC,NA
5,1,PI,SARC,NA
4,12,PI,SARC,NA
5,12,PI,SARC,NA
1,2,PI,SARC,NA
2,2,PI,SARC,NA
3,2,PI,SARC,NA
4,2,PI15,SARC,2.5
5,2,PI15,SARC,0
1,3,PI15,SARC,0
2,3,PI15,SARC,0
3,3,PI15,SARC,0
4,3,PI15,SARC,1
5,3,PI15,SARC,0
1,4,PI15,SARC,0
2,4,PI15,SARC,0
3,4,PI15,SARC,0.4
1,1,PI15,SARC,0
4,4,PI15,SARC,0
5,4,PI15,SARC,0
5,5,PI15,SARC,0
4,5,PI15,SARC,0
3,5,PI15,SARC,0
2,5,PI15,SARC,0.5
1,5,PI15,SARC,0
1,6,PI15,SARC,0
2,6,PI15,SARC,0
3,6,PI15,SARC,0.3
2,1,PI15,SARC,0
4,6,PI15,SARC,0
5,6,PI15,SARC,0
1,7,PI15,SARC,0
2,7,PI15,SARC,0
3,7,PI15,SARC,0
4,7,PI15,SARC,0
5,7,PI15,SARC,0
1,8,PI15,SARC,0
2,8,PI15,SARC,0
3,8,PI15,SARC,0
3,1,PI15,SARC,0
4,8,PI15,SARC,0
5,8,PI15,SARC,0
1,9,PI15,SARC,0
2,9,PI15,SARC,0
3,9,PI15,SARC,0
4,9,PI15,SARC,0
5,9,PI15,SARC,0
1,10,PI15,SARC,0
2,10,PI15,SARC,0
3,10,PI15,SARC,0
4,1,PI15,SARC,0
4,10,PI15,SARC,0
5,10,PI15,SARC,0.5
1,11,PI15,SARC,0
2,11,PI15,SARC,0
3,11,PI15,SARC,1
4,11,PI15,SARC,0
5,11,PI15,SARC,0
1,12,PI15,SARC,0
2,12,PI15,SARC,1
3,12,PI15,SARC,0
5,1,PI15,SARC,0
4,12,PI15,SARC,1
5,12,PI15,SARC,0
1,2,PI15,SARC,0
2,2,PI15,SARC,0
3,2,PI15,SARC,2.4
4,2,SQ,SARC,3
5,2,SQ,SARC,1
1,3,SQ,SARC,0
2,3,SQ,SARC,0
3,3,SQ,SARC,0
4,3,SQ,SARC,0
5,3,SQ,SARC,0
1,4,SQ,SARC,0
2,4,SQ,SARC,0
3,4,SQ,SARC,0
1,1,SQ,SARC,0
4,4,SQ,SARC,0
5,4,SQ,SARC,0
5,5,SQ,SARC,0
4,5,SQ,SARC,0.5
3,5,SQ,SARC,0.8
2,5,SQ,SARC,0
1,5,SQ,SARC,1
1,6,SQ,SARC,0
2,6,SQ,SARC,0.1
3,6,SQ,SARC,0
2,1,SQ,SARC,0.3
4,6,SQ,SARC,0.8
5,6,SQ,SARC,0
1,7,SQ,SARC,0
2,7,SQ,SARC,0.1
3,7,SQ,SARC,0
4,7,SQ,SARC,0.2
5,7,SQ,SARC,0.1
1,8,SQ,SARC,0
2,8,SQ,SARC,0.5
3,8,SQ,SARC,0
3,1,SQ,SARC,0.4
4,8,SQ,SARC,0
5,8,SQ,SARC,52
1,9,SQ,SARC,0
2,9,SQ,SARC,0
3,9,SQ,SARC,0
4,9,SQ,SARC,0
5,9,SQ,SARC,0
1,10,SQ,SARC,0
2,10,SQ,SARC,0.2
3,10,SQ,SARC,0.5
4,1,SQ,SARC,0.5
4,10,SQ,SARC,0
5,10,SQ,SARC,14
1,11,SQ,SARC,0
2,11,SQ,SARC,0
3,11,SQ,SARC,0.5
4,11,SQ,SARC,0
5,11,SQ,SARC,0
1,12,SQ,SARC,0
2,12,SQ,SARC,0
3,12,SQ,SARC,0
5,1,SQ,SARC,2
4,12,SQ,SARC,1.8
5,12,SQ,SARC,0
1,2,SQ,SARC,0
2,2,SQ,SARC,0
3,2,SQ,SARC,0.8
4,2,W,SARC,0.1
5,2,W,SARC,1
1,3,W,SARC,0
2,3,W,SARC,2
3,3,W,SARC,0.5
4,3,W,SARC,0.5
5,3,W,SARC,7
1,4,W,SARC,0
2,4,W,SARC,1
3,4,W,SARC,1
1,1,W,SARC,0
4,4,W,SARC,0.5
5,4,W,SARC,8
1,5,W,SARC,0
2,5,W,SARC,4
3,5,W,SARC,5
4,5,W,SARC,0
5,5,W,SARC,2
1,6,W,SARC,0
2,6,W,SARC,1
3,6,W,SARC,0
2,1,W,SARC,2
4,6,W,SARC,6
5,6,W,SARC,12
1,7,W,SARC,0
2,7,W,SARC,0.1
3,7,W,SARC,0
4,7,W,SARC,26
5,7,W,SARC,20
1,8,W,SARC,0
2,8,W,SARC,0
3,8,W,SARC,0
3,1,W,SARC,2
4,8,W,SARC,3
5,8,W,SARC,0
1,9,W,SARC,0
2,9,W,SARC,10
3,9,W,SARC,0
4,9,W,SARC,0.3
5,9,W,SARC,2
1,10,W,SARC,0
2,10,W,SARC,0.1
3,10,W,SARC,0
4,1,W,SARC,0
4,10,W,SARC,0
5,10,W,SARC,0
1,11,W,SARC,0
2,11,W,SARC,0
3,11,W,SARC,0
4,11,W,SARC,0
5,11,W,SARC,2
1,12,W,SARC,0
2,12,W,SARC,30
3,12,W,SARC,8
5,1,W,SARC,0
4,12,W,SARC,8
5,12,W,SARC,0.4
0,0,W,SARC,0
0,0,W,SARC,0
0,0,W,SARC,0
0,0,W,SARC,0
0,0,W,SARC,0
0,0,W,SARC,0
0,0,W,SARC,0
0,0,W,SARC,0
1,2,W,SARC,0
0,0,W,SARC,0
0,0,W,SARC,0
0,0,W,SARC,0
0,0,W,SARC,0
0,0,W,SARC,0
0,0,W,SARC,0
2,2,W,SARC,3
3,2,W,SARC,0
2,11,EP,SPA,86
1,11,EP,SPA,6.5
5,10,EP,SPA,1
4,10,EP,SPA,82
3,10,EP,SPA,55
2,10,EP,SPA,65
1,10,EP,SPA,10
1,9,EP,SPA,24
2,9,EP,SPA,106
3,9,EP,SPA,91
1,12,EP,SPA,85
4,9,EP,SPA,52
5,9,EP,SPA,14
1,8,EP,SPA,39
2,8,EP,SPA,62
3,8,EP,SPA,26
4,8,EP,SPA,94
5,8,EP,SPA,12
1,7,EP,SPA,43
2,7,EP,SPA,98
3,7,EP,SPA,100
2,12,EP,SPA,80
4,7,EP,SPA,81
5,7,EP,SPA,0.7
1,6,EP,SPA,42
2,6,EP,SPA,86
3,6,EP,SPA,100
4,6,EP,SPA,100
5,6,EP,SPA,5
5,5,EP,SPA,28
4,5,EP,SPA,45
3,5,EP,SPA,61
3,12,EP,SPA,40
2,5,EP,SPA,44
1,5,EP,SPA,56
1,4,EP,SPA,80
2,4,EP,SPA,66
3,4,EP,SPA,43
4,4,EP,SPA,47
5,4,EP,SPA,0
5,3,EP,SPA,10
4,3,EP,SPA,0
3,3,EP,SPA,0
4,12,EP,SPA,45
2,3,EP,SPA,2
1,3,EP,SPA,55
1,2,EP,SPA,100
2,2,EP,SPA,77
3,2,EP,SPA,0
4,2,EP,SPA,33
5,2,EP,SPA,4
1,1,EP,SPA,85
2,1,EP,SPA,55
3,1,EP,SPA,27
5,12,EP,SPA,0
4,1,EP,SPA,85
5,1,EP,SPA,0
5,11,EP,SPA,44
4,11,EP,SPA,52
3,11,EP,SPA,70
4,8,GC,SPA,0
5,8,GC,SPA,0
1,12,GC,SPA,94
2,12,GC,SPA,2.6
3,12,GC,SPA,67
4,12,GC,SPA,0
5,12,GC,SPA,0
1,7,GC,SPA,100
2,7,GC,SPA,48
1,6,GC,SPA,78
1,10,GC,SPA,100
2,6,GC,SPA,100
5,1,GC,SPA,1.7
1,4,GC,SPA,95
2,4,GC,SPA,96
3,4,GC,SPA,0
4,4,GC,SPA,0
5,4,GC,SPA,0
1,5,GC,SPA,9.5
2,5,GC,SPA,0
3,5,GC,SPA,0
2,10,GC,SPA,4
4,5,GC,SPA,79
5,5,GC,SPA,0
1,11,GC,SPA,93
2,11,GC,SPA,1.3
3,11,GC,SPA,0
4,11,GC,SPA,0
5,11,GC,SPA,0
1,9,GC,SPA,76
2,9,GC,SPA,0
3,9,GC,SPA,0
3,10,GC,SPA,0
4,9,GC,SPA,0
5,9,GC,SPA,0
5,7,GC,SPA,0
4,7,GC,SPA,84
3,7,GC,SPA,0.6
5,6,GC,SPA,0
4,6,GC,SPA,0
4,10,GC,SPA,0
5,10,GC,SPA,0
1,8,GC,SPA,85
2,8,GC,SPA,96
3,8,GC,SPA,95
4,2,Med,SPA,0
5,2,Med,SPA,0
1,3,Med,SPA,0
2,3,Med,SPA,0
3,3,Med,SPA,0
4,3,Med,SPA,0
5,3,Med,SPA,0
1,4,Med,SPA,19
2,4,Med,SPA,6
3,4,Med,SPA,1
1,1,Med,SPA,44
4,4,Med,SPA,3
5,4,Med,SPA,0
5,5,Med,SPA,0
4,5,Med,SPA,0
3,5,Med,SPA,0
2,5,Med,SPA,0
1,5,Med,SPA,28
1,6,Med,SPA,39
2,6,Med,SPA,60
3,6,Med,SPA,80
2,1,Med,SPA,85
4,6,Med,SPA,100
5,6,Med,SPA,7
1,7,Med,SPA,60
2,7,Med,SPA,60
3,7,Med,SPA,100
4,7,Med,SPA,12
5,7,Med,SPA,0
1,8,Med,SPA,45
2,8,Med,SPA,100
3,8,Med,SPA,100
3,1,Med,SPA,40
4,8,Med,SPA,100
5,8,Med,SPA,0
5,9,Med,SPA,54
4,9,Med,SPA,100
3,9,Med,SPA,100
2,9,Med,SPA,69
1,9,Med,SPA,30
5,10,Med,SPA,32
4,10,Med,SPA,27
3,10,Med,SPA,62
4,1,Med,SPA,8
2,10,Med,SPA,85
1,10,Med,SPA,57
1,11,Med,SPA,55
2,11,Med,SPA,96
3,11,Med,SPA,100
4,11,Med,SPA,40
5,11,Med,SPA,0
1,12,Med,SPA,31
2,12,Med,SPA,75
3,12,Med,SPA,60
5,1,Med,SPA,1
4,12,Med,SPA,76
5,12,Med,SPA,80
1,2,Med,SPA,0
2,2,Med,SPA,60
3,2,Med,SPA,12
4,2,N,SPA,100
5,2,N,SPA,28
1,3,N,SPA,42
2,3,N,SPA,100
3,3,N,SPA,91
4,3,N,SPA,92
5,3,N,SPA,0
1,4,N,SPA,64
2,4,N,SPA,100
3,4,N,SPA,83
1,1,N,SPA,88
4,4,N,SPA,100
5,4,N,SPA,0
1,5,N,SPA,84
2,5,N,SPA,1
3,5,N,SPA,0
4,5,N,SPA,100
5,5,N,SPA,31
1,6,N,SPA,78
2,6,N,SPA,100
3,6,N,SPA,30
2,1,N,SPA,81
4,6,N,SPA,1.4
5,6,N,SPA,35
1,7,N,SPA,13
2,7,N,SPA,100
3,7,N,SPA,69
4,7,N,SPA,54
5,7,N,SPA,5.4
1,8,N,SPA,96
2,8,N,SPA,92
3,8,N,SPA,98
3,1,N,SPA,77
4,8,N,SPA,82
5,8,N,SPA,3.6
1,9,N,SPA,88
2,9,N,SPA,97
3,9,N,SPA,93
4,9,N,SPA,86
5,9,N,SPA,100
1,10,N,SPA,87
2,10,N,SPA,98
3,10,N,SPA,94
4,1,N,SPA,100
4,10,N,SPA,92
5,10,N,SPA,32
1,11,N,SPA,81
2,11,N,SPA,83
3,11,N,SPA,82
4,11,N,SPA,91
5,11,N,SPA,93
1,12,N,SPA,94
2,12,N,SPA,98
3,12,N,SPA,21
5,1,N,SPA,64
4,12,N,SPA,68
5,12,N,SPA,12
1,2,N,SPA,56
2,2,N,SPA,49
3,2,N,SPA,100
4,2,PI,SPA,89
5,2,PI,SPA,21
1,3,PI,SPA,100
2,3,PI,SPA,1
3,3,PI,SPA,13
4,3,PI,SPA,8
5,3,PI,SPA,70
1,4,PI,SPA,85
2,4,PI,SPA,4
3,4,PI,SPA,100
1,1,PI,SPA,92
4,4,PI,SPA,65
5,4,PI,SPA,26
1,5,PI,SPA,98
2,5,PI,SPA,1.1
3,5,PI,SPA,24
4,5,PI,SPA,97
5,5,PI,SPA,72
1,6,PI,SPA,71
2,6,PI,SPA,0
3,6,PI,SPA,0
2,1,PI,SPA,0
4,6,PI,SPA,19
5,6,PI,SPA,0
1,7,PI,SPA,41
2,7,PI,SPA,39
3,7,PI,SPA,52
4,7,PI,SPA,95
5,7,PI,SPA,0
1,8,PI,SPA,44
2,8,PI,SPA,17
3,8,PI,SPA,0
3,1,PI,SPA,23
4,8,PI,SPA,0
5,8,PI,SPA,0.1
1,9,PI,SPA,0
2,9,PI,SPA,92
3,9,PI,SPA,65
4,9,PI,SPA,28
5,9,PI,SPA,1.7
1,10,PI,SPA,41
2,10,PI,SPA,19
3,10,PI,SPA,100
4,1,PI,SPA,31
4,10,PI,SPA,100
5,10,PI,SPA,1
1,11,PI,SPA,100
2,11,PI,SPA,21
3,11,PI,SPA,22
4,11,PI,SPA,33
5,11,PI,SPA,0
1,12,PI,SPA,71
2,12,PI,SPA,16
3,12,PI,SPA,41
5,1,PI,SPA,91
4,12,PI,SPA,31
5,12,PI,SPA,0
1,2,PI,SPA,0
2,2,PI,SPA,2.6
3,2,PI,SPA,88
4,2,PI15,SPA,89
5,2,PI15,SPA,4.5
1,3,PI15,SPA,1
2,3,PI15,SPA,0
3,3,PI15,SPA,3
4,3,PI15,SPA,95
5,3,PI15,SPA,38
1,4,PI15,SPA,98
2,4,PI15,SPA,15
3,4,PI15,SPA,100
1,1,PI15,SPA,86
4,4,PI15,SPA,3.5
5,4,PI15,SPA,1.2
5,5,PI15,SPA,0.4
4,5,PI15,SPA,100
3,5,PI15,SPA,89
2,5,PI15,SPA,12
1,5,PI15,SPA,0
1,6,PI15,SPA,54
2,6,PI15,SPA,0
3,6,PI15,SPA,0
2,1,PI15,SPA,0
4,6,PI15,SPA,17
5,6,PI15,SPA,0
1,7,PI15,SPA,64
2,7,PI15,SPA,95
3,7,PI15,SPA,100
4,7,PI15,SPA,48
5,7,PI15,SPA,0
1,8,PI15,SPA,73
2,8,PI15,SPA,76
